title,author,abstract,discipline,date_of_publication
Morphophysiological Responses of Common Bean (Phaseolus vulgaris L.) Genotypes to Water Stress,Mebelo Mataa; Philip Kalima; Davies Lungu,"The yield of common bean (Phaseolus vulgaris L.) is highly constrained by water deficit, especially during reproductive development. The purpose of the study was to determine the association of the morphophysiological traits with water stress and how this affects grain yield in common beans. A field experiment involving eight common bean genotypesand three water regimes (50%, 75%, and 100% of crop evapotranspiration) was conducted at the National Irrigation Research Station, Mazabuka District, during the 2012 growing season. A split-plot design, with four replications was used; with soil moisture regime (main plot) and the genotypes (subplot). Based on variation in water stress tolerances, 8 test genotypes - Gadra, KE 3, KE 4, ZM 4488, SER 76 SER 180, SER 89 and CAR-ZAR were used. Water stress treatments were imposed at the pre-flowering stage and were discontinued after forty-three days when the crop was in its late reproductive stage. Significant differences were found among genotypes for Chlorophyll a(Chl a), chlorophyll b (Chl b), Total chlorophyll, relative water content, grain yield, number of pods per plant, seed weight, seeds per pod and days to 50 per cent flowering under the three water stress conditions. The grain yield in normally irrigated conditions (2191.3 kg ha-1) was 60 per cent higher than in high water stress conditions (866.2 kg ha-1), while in the low water stress conditions (1078.3kg ha-1), the reduction in grain yield was 50.8 per cent. There was a significant genotype by the environment, showing that the genotypes behaved differently under the different growing conditions. Results suggested that Gadra, KE 4, ZM 4488, and SER 180 were water stress tolerant while the SER 89, CAR-ZAR, KE 3 and SER 76 were water stress-sensitive genotypes. These results suggest that a selection method based on 100 SW, Chl a, Chl b, and NPP can be used in breeding for bean genotypes to water stress.",Agriculture Sciences,10/27/2021
Quantitative Exposure Assessment to Vibrio cholerae through Consumption of Fresh Fish in Lusaka Province of Zambia,Mulenga Malata; John Bwalya Muma; James S Siamate; Flavien N Bumbangi; Bernard M Hang’ombe; Chisoni Mumba,"Fresh fish is one of the widely consumed sources of proteins in Zambia. Consumption of contaminated fresh fish has been linked to zoonotic transmission of diseases in humans as fresh fish harbors several spoilage bacteria and pathogens including V. cholerae which cause cholera in humans. This study aimed to conduct a quantitative exposure assessment to Vibrio cholerae through consumption of fresh fish in Lusaka Province of Zambia. We used Swift Quantitative Microbial Risk Assessment (sQMRA) model to estimate the risk of exposure. We obtained data from reviews of scientific literature, government reports, questionnaire survey, and expert opinions. We categorized fish consumers using three risk pathways; restaurants, households with low socioeconomic status, and households with high socio-economic status.
Results revealed that at a serving portion of 100g in households with low socioeconomic status, a concentration of 50 cfu/g, and infectious dose 50 (ID50) of 106 cells, one person out of 2,251,898 population at risk would get ill, representing a probability of 4.4x10-7. At a serving portion of 200g in households with high socioeconomic status, a concentration of 330 cfu/g, and ID50 of 106 cells, 13 people out of 2,251,898 would get ill, representing a probability of 5.7x10-6. At an average serving portion of 200g in restaurants, a concentration of 50 cfu/g, and ID50 of 106 cells, 47 people would get ill, translating to a probability density of 2.02 x 10-5.
These results indicate that the risk of exposure to Vibrio cholerae through the consumption of fresh fish among the population at risk in Lusaka Province of Zambia is extremely low through all risk pathways. Cross-contamination during preparation and consumption is the main source of exposure to the Vibrio cholerae. Therefore, improvement in good food safety handling and processing would further minimize the occurrence of foodborne illnesses.",Veterinary Medicine,12/16/2021
"Potential Causes of Acaricide Resistance in Rhipicephalus and AmblyommaTicks (Acari: Ixodidae) in Namwala District, Zambia",Karen Sichibalo; Katendi Changula; Chisoni Mumba; Natasha Mwila; Kennedy Chibesa; Benjamin Mubemba; King S Nalubamba; Walter Muleya; Edgar Simulundu; Simbarashe Chitanga,"Acaricide resistance in ticks poses a great threat to livestock production in many parts of the world where ticks are a problem. The objectives of this study were to screen for acaricide resistance in Rhipicephalus and Amblyomma ticks using phenotypic and molecular assays, and to assess current tick control practices used by cattle farmers in the traditional sector of Namwala District. The larval packet test was used to screen for acaricide resistance in ticks covering concentrations up to twice the discriminatory dose for amitraz, diazinon and cypermethrin. Genetic mutations associated with resistance to amitraz (A22C-T8P and T65C-L22S), and organophosphates/ pyrethroids (G1120A) were screened using polymerase chain reaction and sequencing. Information on tick control practices at the household level was collected using a semi-structured questionnaire. Intermediate resistance (21-50%) to amitraz and cypermethrin was detected in both Rhipicephalus and Amblyomma ticks, with both tick genera showing susceptibility to diazinon (",Veterinary Medicine,1/3/2022
"Factors Associated with Short Term Outcomes of Hypospadias Repair at the University Teaching Hospitals-Lusaka, Zambia",Seith Kalota; Nenad Spasojevic; Bruce Bvulani,"The study aimed to establish whether age at the time of surgery, glans size, urethral plate width, suture material, urethral catheter blockage/dislodgement and haemoglobin level influence short term outcomes of hypospadias surgery at the University Teaching Hospitals (UTH), Lusaka Zambia.
This was a consecutive (total enumerative) observational cohort study done at D-block and Clinic 7 at UTH Lusaka over nine months. A total of 41 patients were enrolled, and their demographic data, haemoglobin, maximum glans width size and urethral plate size before creating glans wing or midline plate incision were noted and measured. Logistic regression assessed urethroplasty complications on urethral plate size, glans size, haemoglobin, suture material and catheter problems.
The average age of participants was 34 months. Distal hypospadias was the most common type at 61%, while middle hypospadias was 27% and proximal hypospadias 12%. The complication rate was 34%. The most common complication seen was urethrocutaneous fistula at 53%. The other complications seen included 11.8% glanular dehiscence, 11.8% infections, 6% persistent chordee and 6% penile torsion. The risk factors for postoperative complications included the location of the urethral opening. The more proximal the site of the hypospadias, the higher the complication rate. Complications were strongly associated with haemoglobin levels of less than 11.5g/dl (p=0.001) and catheter blockage or dislodgment (p=0.008). There was no association of complications with Socioeconomic status, age at the time of repair, glans width size or suture material. Contrary to the finding of many authors, a wider urethral plate in this study was associated with a higher complication rate.",Biomedical Sciences,12/16/2021
"Determination of the Outcomes of Laparoscopic Appendecectomies at the University Teaching Hospital, Zambia",Rajesh Parekh; Hanna Habib,"Several studies have demonstrated the superiority of Laparoscopic appendicectomy (LA) in managing acute appendicitis. Acute appendicitis has been managed solely by open appendicectomy at the University Teaching Hospital (UTH). This was the first study that looked at the management of acute appendicitis by laparoscopy at UTH. This study aimed at determining the outcomes of laparoscopic appendicectomy at UTH. 
This was a prospective cohort study that included patients that were diagnosed with acute uncomplicated appendicitis. All patients admitted between August 2015 to March 2016 were included in the study. Variables analyses were patient’s data (age, gender, previous surgery, White Blood Cell (WBC)count, symptoms, signs, symptoms), operating time, intra/post operative complications, and length of stay. 
A total of 9 laparoscopic appendicectomies were performed during the study period. The patients had an average age of 31.8 years and were predominantly female (70%). One case was converted to open appendicectomy and was not included in the laparoscopic data group. The mean operative time for the procedure was 75.5 min (range 50-110min) and the length of stay was on average 2.3 days (range 2-3 days). The patients in the study had no complications noted during the follow-up period. No patient developed an intra-abdominal abscess during the study period.
Laparoscopic appendicectomy for uncomplicated acute appendicitis resulted in good surgical outcomes in this institution compared to the regional statistics as a reference point. It may be preferred in patients presenting with uncomplicated appendicitis or where the diagnosis is equivocal. Laparoscopic appendicectomy is recommended, especially for young female patients in our setting.",Biomedical Sciences,1/3/2022
"Bacteriology and Antibiotic Sensitivity Patterns of Urine in Urology Patients with Indwelling Urinary Catheters at the University Teaching Hospital in Lusaka, Zambia",Misinzo Moono; Spasojevic Nenad; Victor Mapulanga,"Catheter-associated urinary tract infection (CAUTI) is the most common nosocomial infection in hospitals worldwide, and the incidence has been reported to be up to 35%. The growing antibiotic resistance amongst the uropathogens isolated from CAUTI makes it challenging to manage. In Zambia, prolonged catheter use is a burden, particularly in patients awaiting definitive surgery, the elderly and socioeconomically challenged. Bacterial colonisation following catheterisation is inevitable, with reports estimating the risk to be around 5 to 10% per day. By day 10, virtually all patients with urinary tract instrumentation have healthcare-associated UTI, with the duration of catheterisation the most important factor. 
The study was a descriptive cross-sectional study conducted at the University Teaching Hospital (UTH) over a period of 10 months from July 2015 to May 2016. The cases were in-patients and out-patients with indwelling catheters in situ for not less than three calendar days. Simple random sampling was used to select candidates who were in-patients awaiting definitive surgery and out-patients in the same category as they attended clinics. Data collection and collection of specimens were done by the principal investigator, and then analysed by the microbiologist based at the UTH microbiology laboratory. The patients were recruited at one point, and the data collection exercise employed a questionnaire to collect socioeconomic, demography and clinical information.The variables were collected using the data collection sheet for each participant. The data was then entered into SPSS software to clean and analyse it. The categorical variables were presented as proportions. The main concerns arising during specimen collection were the duration between the time of specimen collection and transfer to and processing at the main laboratory, which was kept within one hour. Specimens received within two hours of the collection were accepted. 
A total of 228 patients were enrolled from both out-patient and in-patient departments. Approximately 75% yielded growth of bacteria, and 25.0% were negative. The pure growth yielded Klebsiella Pneumoniae 28.0% and E. coli 25.2%, as the most isolated pathogens. The antibiotic susceptibility testing revealed the highest resistance of the above isolates to ampicillin, nalidixic acid, norfloxacin, ciprofloxacin, levofloxacin, and borderline with cotrimoxazole. The organisms were least resistant to amikacin, imipenem, nitrofurantoin, and gentamycin. Acetinobacter and Citrobacter species were also highly resistant to the above drugs, with nitrofurantoin in addition, but least resistant to ampicillin. 
The study revealed a high prevalence of CAUTI in the urology section of the UTH, and practices such as poor hand hygiene, open catheter drainage, non-aseptic methods of catheter insertion and poor catheter care are possible contributing factors. There is an association between insertion of indwelling catheters and subsequent development of CAUTI, and the strongest factors noted are the size of the catheters used and the patients level of education. High resistance to antibiotics to many organisms of concern was noted.",Biomedical Sciences,1/6/2022
Modelling the Societal Burden of Anthrax in Cattle in Western Province of Zambia using a Modification of Disability Adjusted Life Years,Yolan Banda; Chisoni Mumba; Martin Simuunza; Bernard Hang'ombe,"Abstract Background: Anthrax which is a naturally occurring zoonotic disease caused by the bacterium Bacillus anthracis has been endemic in Western Zambia. This paper estimated the societal burden of anthrax on cattle using Productivity Adjusted Life Years (PALYs) among cattle farmers in the Western province of Zambia. Methods: A quantitative cross-sectional study design was used to collect data from cattle farmers in Mongu, Nalolo and Limulunga districts of Western Zambia. The Disability-Adjusted Life Years (DALY) model for human populations was modified and adapted to the animal population model, PALYs, to estimate the societal burden of animal diseases. The integral calculator was used to estimate the societal disease burden of anthrax using PALY equations in three categories: PALYs without discounting and age weighting, PALYs with only discounting, and PALYs with discounting and age weighting. Results: The results showed that anthrax affected the quality of life years lived by animals significantly due to years lost due to disability (YLD) and Years lost due to premature death (YLL). A cow, bull and ox lost about 34%, 39% and 37% of productivity years of its life span due to anthrax. Anthrax further caused a total loss of 459,280.90 PALYs in the three districts. The quality of life is improved, and productivity losses are reduced to almost 0% for all three types of animals by introducing effective anthrax control measures in the absence of other adverse health conditions. Conclusion: Anthrax negatively affected livestock production due to significant loss of healthy years of life and loss of quality of life. Therefore, it is important to minimize the loss of cattle productivity through morbidity and mortality. Different intervention programs for the same disease can be compared in cost-effective analysis using PALYs as one of the tools. Therefore, societal burden of diseases should also be applied on top of other existing methods used to assess the impact of diseases on animals to enable policymakers to have a complete and comprehensive picture of the impact.",Veterinary Medicine,7/5/2022
Small-Scale Poultry Farmer’s Perception on the Emerging Impact of Covid-19 Pandemic in Zambia,Agboola Olabisi John; Kolawole I Odubote; Metti Richenhagen,"The covid-19 pandemic has been reported to have disrupted the food systems globally, thereby, negatively affecting production of agricultural commodities. This study was carried out to examine the emerging impact of the pandemic on small-scale poultry farmers in Lusaka Province, Zambia. Questionnaires were administered to 100 farmers in Chongwe rural area (Lusaka city sub-hub) to collect information on socio-economic characteristics, poultry production system, impact of covid-19 on poultry operations and coping mechanisms instituted. The data collected were subjected to descriptive and correlation analysis. The research findings revealed that the pandemic has a significant negative impact on the small-scale poultry farmer access to feed availability, vaccines and day old chicks. Similarly, the pandemic had a significant impact on market availability, accessibility and the purchasing power of the consumers. The research also indicated that a significant positive correlation exist between difficulties in accessing essential inputs for poultry productivity and the coping strategy that the poultry farmer adopted. The study concluded that farmers experienced a great effect of the pandemic on their poultry business due to the restriction imposed by government which caused inaccessibility of input supplies and market for the sales of birds. While the government provided financial incentives to some industrial and commercial entities, most small-scale farmers in this study did not benefit from the scheme. This shows that the government is more focused on industrial entities rather than small-scale farmers and producers. The study suggested mitigating strategies such as facilitating access to production inputs, market linkages and financial assistance (soft loans, grants, relief etc.) for small-scale poultry producers to build a resilient poultry system and cope with the emerging challenges covid-19 imposed on the poultry industry are recommended.",Agriculture Sciences,7/6/2022
"Antimicrobial Susceptibility of Staphylococcus aureus Isolated from Recreational and Natural Water Bodies in Lusaka, Zambia",Lackson Mwape; Mulemba Samutela; Kaunda Yamba; Annie Kalonda,"Staphylococcus aureus is a potentially harmful human pathogen associated with both nosocomial and community-acquired infections with increasingly antibiotic resistance. Although microbial contamination of marine waters is predicted to be responsible for millions of gastrointestinal, and acute respiratory infections, and several skin infections, there is little information regarding the microbial contamination of water bodies in many Sub-Saharan countries. Therefore, this study aimed at determining the antimicrobial susceptibility of S. aureus isolated from recreational waters and natural water bodies in Lusaka, Zambia. 
This was a cross-sectional study with a total of 90 water samples collected from recreational and natural water bodies. To isolate S. aureus, standard microbiological methods were used while the Kirby-Bauer disk diffusion method was used for susceptibility testing. Methicillin-resistant Staphylococcus aureus was detected by use of cefoxitin. 
The overall results showed that there was 36.7% bacterial contamination in the waters tested. From the 90 samples collected, a total of 33 bacteria were isolated, of which 12 (36.4%) were Coagulase Negative Staphylococcus, 9 (27.2%) were S. aureus and 12 (36.4%) were non-staphylococcus species. All the isolates showed 100% resistance to penicillin G and ampicillin. The S. aureus isolates were most susceptible to chloramphenicol (88.9%), cefoxitin (88.9%), ciprofloxacin (100%), amikacin (88.9%) and gentamicin (88.9%). Only 11.1% of isolates showed phenotypic resistance to methicillin after testing against cefoxitin.
The results from this study signify that recreational and natural water bodies in Lusaka, Zambia may be possible reservoirs of antibiotic-resistant S. aureus which may possibly be transmitted to humans when using the same waters.",Biomedical Sciences,6/13/2022
Gastric Ulceration and Gastritis in Three Wild Temminck’s Ground Pangolins (Smutsia temminckii) Under Rehabilitation in Zambia,Dr. John Yabe; Dr. David Squarre; Dr. Jackson Katampi; Dr. Rachel Mwenda; Dr. Ntombi B. Mudenda; Dr. Audrine Nkana; Ms. Suwilanji Sichone; Mr. Titus Kaira,"Wild rescued pangolins are known to adapt poorly in their captive environment, where many die under rehabilitation. Gastrointestinal disease and pneumonia are the most common causes of death in pangolins. However, literature on the pathology of gastric ulcers is rare. 
The current case report describes the necropsy and histopathological evaluation of three Temminck’s pangolins that died under rehabilitation in Lusaka, Zambia. Grossly, gastric ulcerations of the fundic gland mucosae were seen in the stomachs. Inflammatory cells and erosions of fundic gastric gland mucosa were seen on histopathology. The morphological diagnosis of gastric ulceration with gastritis was attributed to stress and inappropriate diet. 
The findings are expected to increase knowledge in pangolin diseases and thus, improve the conservation efforts to save the pangolin species from extinction.",Veterinary Medicine,5/23/2022
Pathological and Microbiological Diagnosis of Cutaneous Blastomycosis in a Four Months Old Dog in Zambia,John Yabe; Caesar Luswili; Bernard M. Hang’ombe; Katendi Changula; Daniel Ndambasia; Mutinta Mweemba Muwowo; Maron Mubanga; Evans Mulenga,"Background: Blastomycosis is usually a systemic fungal disease, most commonly diagnosed in dogs and humans. Cutaneous involvement primarily results from hematogenous spread, but in rare cases, direct inoculation can occur. 
Case presentation: The current report describes a case of a four month old male dog presented with cutaneous lesions caused by Blastomyces dermatitidis without pulmonary or disseminated disease. Diagnosis was achieved through histopathology and culture. Surgical debulking associated with systemic therapy with oral itraconazole resulted in significant remission of the lesion. To the authors’ knowledge, this is the first case of cutaneous blastomycosis reported in an animal in Zambia. 
Conclusions: Accurate diagnosis of the disease in dogs is of public health importance as canine blastomycosis can be a presage of the disease in humans.",Veterinary Medicine,7/5/2022
A Study of Cardiovascular Autonomic Neuropathy in Adult Patients with Diabetes Mellitus at Levy Mwanawasa University Teaching Hospital,Mpimpa Songiso; Fastone Goma,"Cardiac autonomic neuropathy (CAN) is the diminished capacity of autonomic regulation of the cardiovascular system occurring in the presence of diabetes mellitus (DM) and in the absence of other aetiologies. Diabetes mellitus is a well-known cause of peripheral neuropathy. However, in comparison to somatic neuropathy, autonomic neuropathy is an under-diagnosed and under-treated chronic complication of diabetes mellitus despite its serious and significant contribution to morbidity and mortality in the diabetes mellitus population. A variety of tests, based on evaluation of the cardiovascular reflexes triggered by performing specific provocative manoeuvres, have been proposed to measure autonomic function. This study used four cardiovascular reflex tests to estimate appropriate autonomic function by examining heart rate, heart rate variation and the baroreceptor reflex. The aim of this study was to determine the presence of cardiovascular autonomic neuropathy in adult patients with diabetes mellitus at Levy Mwanawasa University Teaching Hospital in Lusaka, Zambia. Adult patients with diabetes mellitus, aged between 21 and 70 years, participated in this cross-sectional study. Four, non-invasive, cardiac autonomic reflex tests to assess for cardiac autonomic neuropathy were employed according to Ewing’s method. The parasympathetic function was analysed based on the heart rate response to paced deep breathing and to Valsalva manoeuvring. The sympathetic function was assessed by measuring heart rate and blood pressure response to postural change. Ewing`s criteria was used for the categorisation of cardiac autonomic neuropathy. Data were analysed using SPSS version 20. Continuous data were presented as means and standard deviation. Categorical data were analysed using a Fishers’ Exact Test (χ2) and a logistic regression was performed to verify the effects of diabetes mellitus’ duration, sex and age on the probability that the participants have cardiac autonomic neuropathy. A total of 52 patients participated in the study. The prevalence of Cardiac autonomic neuropathy was 48.1%. Out of 52 patients, 42.3% had definite cardiac autonomic neuropathy and 5.8% had severe cardiac autonomic neuropathy. Early cardiac autonomic neuropathy was observed in 34.6% of patients while 17.3% had no signs of cardiac autonomic neuropathy. The mean age of patients with cardiac autonomic neuropathy was 54.44 ± 10.90 years and the mean duration of diabetes mellitus from diagnosis was 5.36 ± 6.78 years. The probability of developing cardiac autonomic neuropathy increased with increasing age and hypertensive participants were more likely develop cardiac autonomic neuropathy (ѵ = 5.82, p = .001). 

In conclusion, cardiac autonomic neuropathy was present in a significant proportion of adult patients with diabetes mellitus at Levy Mwanawasa University Teaching Hospital, reflecting the increased morbidity encountered by this population. In order to improve patient quality of life and reduce disease burden, screening for cardiac autonomic neuropathy should be implemented using cardiovascular autonomic reflex tests which are relatively simple, safe and affordable.",Biomedical Sciences,7/27/2022
Genetic Diversity of Schistosoma haematobium in Sub-Saharan Africa: A Systematic Review,Rabecca Tembo; Panji Nkhoma; Mildred Zulu; Florence Mwaba; John Yabe; Hikabasa Halwiindi; Moses Kamwela; King S Nalubamba; Chummy S Sikasunge; Andrew M Phri,"Urogenital schistosomiasis caused by the parasite Schistosoma haematobium is the most common form of schistosomiasis. This parasite has a high potential for genetic exchange within parasite populations giving rise to the genetic diversity that is important for its survival. Genetic differences may lead to some parasite strains being more immunogenic, which may have a negative impact on the management and control of schistosomiasis. Therefore, understanding these genetic differences in the parasite may lead to better disease management. This review aimed to systematically review the scientific literature on the genetic diversity and population structuring of S. haematobium and the methods used across sub-Saharan African countries. 
A literature search was done on PubMed, African Journals Online and Google scholar using predefined search terms such as urinary schistosomiasis, S.haematobium, and genetic diversity in sub-Saharan Africa in combination with Boolean operators (AND, OR). The search included studies published from 2000-2020 that emphasised on genetic diversity of S.haematobium in sub-Saharan Africa. A country in sub-Saharan Africa was included if it had a study that determined the genetic diversity of S. haematobium. 
Sixteen study articles from 18 sub-Saharan African countries met the inclusion criteria. The genetic diversity of S.haematobium varied from low to high using different methods. Most studies (18/36 or 50%) in these countries showed a high genetic diversity of S.haematobium. Four methods, namely, restriction fragment length polymorphism, randomly amplified polymorphic DNA, DNA barcoding and Microsatellite markers, were used to determine diversity. In these studies, measures of genetic diversity such as number of alleles per minute or allelic richness, heterozygosity, number of genotypes and unique haplotypes were used. Microsatellites were the most commonly used method, and the studies reported a number of alleles per locus ranging from 2-19 alleles per locus and heterozygosity of 6 to 71% in some studies. The highest number of studies were conducted in West Africa, Nigeria and Zimbabwe, at 4/36(11%) each. 
Results show the need for continued monitoring of genetic variations in S. haematobium in sub-Saharan Africa. This will aid in understanding disease epidemiology and advancing novel treatment and vaccine strategies",Biomedical Sciences,8/12/2022
A Cross-Sectional Study on Socio-Ecological and Socio-Anthropological Determinants of COVID-19 in Lusaka Province of Zambia,Alyce Fri Fonchin; Chisoni Mumba; Linda Basikolo; Simegnew Adugna Kallu; Henson Kainga; Jezreel Mwiinde; Vistorina Benhard; John Bwalya Muma; Musso Munyeme,"The COVID-19 disease constitutes a pandemic that has created an international public health emergency. Besides the significant health challenges, the impact of the COVID-19 disease has been the restriction of movements that have heavily affected the global economy. The first case of COVID-19 in Zambia was identified on March 18th, 2020. By the end of November 2020, the number of districts reporting COVID-19 infections had increased from 68 to 96, with reports of the highest transmission in the capital city, Lusaka, the Copperbelt, and Ndola districts. As COVID-19 spread across the nation of Zambia, several factors are responsible for the spread of the virus. Despite the extensive collection of research done on determinants of COVID-19 disease, the spatial distribution of the disease along socio-demographical and socio-ecological domains remains speculative and infectious diseases have been less looked into in the areas of anthropological dynamics. 
This study used a cross-sectional design to investigate the ecological and anthropological determinants of COVID-19 disease in four compounds in the Lusaka district of Zambia. A guided questionnaire was used to collect data from 301 participants. A descriptive analysis of all independent variables was done. Analysis for associations of dependent and independent variables and multivariate analysis of the independent variables significant at the bi-variate level was conducted to investigate the association between the dependent variable (Knowledge of anyone infected with COVID-19 virus) and the independent variables. 
The bi-variate analysis results showed that 14 independent variables with odds ratios greater than one were significantly associated with the spread of COVID-19. Two variables were found to be highly significant in the multivariable logistic regression analysis model. These included beliefs about COVID-19 (odds = 3.0; p = 0.003; CI 1.2-3.3), and participants area of residence (odds = 2.6; p = 0.003; CI = 1.2-5.5). Other significant multivariate variables were ecological variable; climate and anthropological variables; hand hygienic practices. 
The current research provides further insight into the potential role ecology and anthropology contribute to the spread of communicable diseases. The study recommends awareness of the population to enhance preparedness and response to reduce the spread of COVID-19.",General,9/28/2022
Using Culture Results from Hands and Razor Blades to Sensitise Traditional Birth Attendants (TBAs) on Infection Prevention Practices,Dorothy Chinwendu Chanda; Seter Siziya; Kumar Sridutt Baboo; Charles Michelo,"This article describes findings from one component of a multi-phased study on infection prevention knowledge and practices of Traditional Birth Attendants (TBAs) from 2006-2012. 
The study included two activities within the training programme for TBAs, using a modified Ministry of Health (MoH) TBA Training Curriculum. One component of this curriculum involved sensitising the TBAs on two poor infection prevention practices - poor hand washing and cutting babies’ umbilical cords using any dirty, rusted, sharp instrument after tying it with traditional ulushishi (fibre from inside of tree bark). These practices cause maternal and infant morbidities. Seventy-eight out of one hundred intervention TBAs, whose right hands were swabbed for laboratory analysis, were chosen by simple random sampling. The training had theoretical and practical components. They were trained in four groups consisting of twenty-five TBAs in each group. The results showed no growth on the six razor blades after forty-eight hours of incubation, thus proving their sterility. The results from the hand swabbing showed one-hundred and seven isolates that can potentially infect mothers and babies during the birthing process. This result convinced the TBAs on the importance of hand washing. This was evidenced after the training, because the proportion of TBAs who washed their hands before delivering their clients, among the intervention group, was significantly different (p",Biomedical Sciences,5/25/2023
Phytochemical Screening and Acute Exposure of Methanolic Bark Extract of Pterocarpus Tinctorius in Wistar Rats,Isaac Mphande; Andrew Kataba; Kaampwe Muzandu; Angela Gono Bwalya,"The bark extract of Pterocarpus tinctorius (Fabaceae) is traditionally used to treat diseases such as diabetes, gonorrhoea, hypertension, stomachache and bacterial gastroenteritis. However, little is known about toxicity and phytochemicals found in the bark of Pterocarpus tinctorius. Therefore, this study aimed at phytochemical screening and investigating acute oral toxicity of the stem bark of Pterocarpus tinctorius in Wistar rats. 

Wistar rats (N=3 per group) were randomly assigned to four groups: negative control, 50, 300, and 2000 mg/kg methanolic sub-extract. A single dose was administered and female Wistar rats were observed for 14 days according to the Organisation for Economic Co-operation and Development guidelines for acute toxicity testing in rats. After dosing, rats were individually observed for their physical and behavioural changes throughout the study. The body weight of Wistar rats were monitored weekly and gross pathological changes of rat organs were observed. In addition, the biochemical markers and organ-body weight ratios of the kidneys and the liver were measured. Qualitative phytochemical tests were carried out to determine the types of phytochemicals present in the bark of Pterocarpus tinctorius. 

There were no signs of toxicity observed in all treatment groups and no abnormalities were observed on organs of rats. There was no significant difference in body weight, organ-body weight and biochemical markers with p>0.05, for the Wistar rats in all treatment groups compared to the negative control. Phytochemical tests showed the presence of alkaloids, phenolics, flavonoids, tannins, steroids, terpenoids, anthocyanins and saponins in the stem bark of Pterocarpus tinctoriusas compounds that could be responsible to treat diseases in traditional medicine. 

This study demonstrated that Pterocarpus tinctorius methanolic bark sub-extract is not acutely toxic to the liver and kidneys up to the dose of 2000 mg/kg body weight. It is highly recommended that toxicity studies on other organs of rats such as the heart, brain, pancreas and intestines are carried out.",Biomedical Sciences,9/27/2022
Prospects for the Domestication of Aloe mzimbana in Zambia,Emmanuel L Kapongolo; Gillian Kabwe; Patrick S.M. Phiri,"Zambia,   located   on   the   Luombe  River,  which  forms  part  of  the  Bangweulu  Basin  drainage  system.  The  geomorphological  nature  of  Chishimba  Falls  is  such  that  it  consists  of  two  waterfalls   called   the  Mutumuna   and   Chishimba  and  the  Kaela  Rapids.  The  Chishimba Falls Heritage Site covers an area of 777 hectares. It is surrounded by human  settlements  and  residences  for  staff  of  the  Zambia  Electricity  Supply Corporation  and  the  Zambia  National  Service.  Out  of  a  total  of  314  plant  species recorded at this site, 138 species of flowering plants are of ethnobotanical value.  Vegetation  studies  conducted  at  this heritage site generated an idea on the prospects to domesticate species of Aloe, particularly Aloe mzimbana, as a source of pharmaceutical compounds.",Agriculture Sciences,11/3/2022
Modeling the Non-Monetary Societal Burden of Tick-Borne Diseases for Cattle: A Case Study of East Coast Fever in the Traditional Cattle-Keeping Households of Namwala District of Zambia.,Natasha Mwila; Chisoni Mumba; Omran Salih; Karen Sichibalo; Edgar S Simulundu; Katendi Changula; Simbarashe Chitanga,"The  study  aimed  at  estimating  the  disease  burden  of  East  Coast  Fever  (ECF)  among  rural cattle-keeping households of Namwala District of Zambia using Productivity Adjusted Life Years (PALYs). We modified Disability Adjusted  Life  Year  (DALY)  equations  for  humans  to  PALYs  to  estimate  the  societal  burden   of   tick-borne   animal   diseases.   We  used  a  structured  questionnaire  to  collect   data   on   parameters   that   feed   into   PALY   equations   and   then   coded   and  entered  data  from  the  questionnaires  directly  into  the  Statistical  Package  of  Social  Sciences  (IBM  SPSS  Version  20).  Further,  we  entered  the  estimated  values  of  PALY  parameters  into  mathematical calculus software called integral calculator (https://www.integral-calculator.com/). We  then  used  the  integral  calculator  to  calculate PALY equations, which we used to  estimate  the  societal  disease  burden  of  ECF  in  cattle.  Productivity  Adjusted  Life  Years   calculations   were   done   in   three   categories;   PALYs   without   discounting   and   age   weighting,   PALYs   with   only   discounting,  and  PALYs  with  discounting  and age weighting.Results revealed that the years of the productivity  lost  by  a  cow,  bull,  and  ox  that suffered from ECF were estimated at 15, 10, and 15 years, respectively. In the second category, the years of productivity lost  by  a  cow,  bull,  and  ox  were  seven,  six, and seven years, respectively. In the final category, the years of productivity lost  by  a  cow,  bull,  and  ox  were  five years. East  Coast  Fever  caused  a  total  of  517,165   PALYs   in   Namwala   District.   The  quality  of  life  reduced  in  years  due  to  disability  (YLD)  caused  by  ECF  per  cow,  bull,  and  ox  was  0.07,  0.07,  and  0.02  per  cent  of  their  life  expectancy,  respectively. The estimated values for the years  of  a  lifetime  lost  due  to  mortality  (YLL)  caused  by  ECF  were  35%,  49%,  and  35%  of  the  life  expectancy  per  cow,  bull,  and  ox.  These  results  are  essential  for measuring outcomes of animal health problems in terms of PALYs. The findings are  helpful  in  the  future  projections  for  the  future  burden  of  any  disease  and  can  be used as a basis in policy and decision-making,  particularly  priorities  in  animal  health   research.   We   recommend   that   a  classification  of  animal  diseases  of national   economic   importance   should   consider  both  the  societal  burden  (non-monetary) and economic impact instead of the common practice of only considering the economic (monetary) impact.",Veterinary Medicine,11/3/2022
